2022/03/28 08:35:53 - DEBUG - 38 - create_dir - Succeed in creating directory: data/netcore
2022/03/28 09:04:42 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:43 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/461/cid/12.html HTTP/1.1" 200 4585
2022/03/28 09:04:43 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:43 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/463/cid/12.html HTTP/1.1" 200 4579
2022/03/28 09:04:43 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:44 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/464/cid/12.html HTTP/1.1" 200 4585
2022/03/28 09:04:44 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:45 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/465/cid/12.html HTTP/1.1" 200 4583
2022/03/28 09:04:45 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:45 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/466/cid/12.html HTTP/1.1" 200 4589
2022/03/28 09:04:45 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:46 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/467/cid/12.html HTTP/1.1" 200 4599
2022/03/28 09:04:46 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:47 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/468/cid/12.html HTTP/1.1" 200 4619
2022/03/28 09:04:47 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:48 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/469/cid/12.html HTTP/1.1" 200 4595
2022/03/28 09:04:48 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:48 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/470/cid/12.html HTTP/1.1" 200 2550
2022/03/28 09:04:48 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:49 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/471/cid/12.html HTTP/1.1" 200 4785
2022/03/28 09:04:49 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:50 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/472/cid/12.html HTTP/1.1" 200 4538
2022/03/28 09:04:50 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:50 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET /portal/list/index/id/12.html?id=12&page=5 HTTP/1.1" 200 5405
2022/03/28 09:04:50 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:51 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/473/cid/12.html HTTP/1.1" 200 4498
2022/03/28 09:04:51 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:52 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/474/cid/12.html HTTP/1.1" 200 4821
2022/03/28 09:04:52 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:53 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/476/cid/12.html HTTP/1.1" 200 4583
2022/03/28 09:04:53 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:53 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/478/cid/12.html HTTP/1.1" 200 4828
2022/03/28 09:04:53 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:54 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/479/cid/12.html HTTP/1.1" 200 4818
2022/03/28 09:04:54 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:55 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/480/cid/12.html HTTP/1.1" 200 4600
2022/03/28 09:04:55 - DEBUG - 228 - _new_conn - Starting new HTTP connection (1): www.netcoretec.com:80
2022/03/28 09:04:56 - DEBUG - 456 - _make_request - http://www.netcoretec.com:80 "GET //portal/article/index/id/482/cid/12.html HTTP/1.1" 200 4799
